beta,seed,run_dir,learned_reward,learned_action_mean,learned_action_std,learned_density_mean,learned_queue_final,u0_reward,u05_reward,u1_reward,beats_u0,beats_u05,beats_u1,best_baseline_reward,margin_over_best_baseline
0.3,0,runs\ppo\ppo_surrogate_constant_inflow_b0p30_s0_20260512_003427,-4184.259524106979,0.9768812018136184,0.1377955147459092,21.22247314453125,18.495038549105328,-17032.83170723915,-10087.971160650253,-3757.6298694610596,1,1,0,-3757.6298694610596,-0.11353690210768667
0.3,1,runs\ppo\ppo_surrogate_constant_inflow_b0p30_s1_20260512_003738,-4154.055684328079,0.978284061451753,0.1347926652395615,21.262331008911133,17.372750838597614,-17032.83170723915,-10087.971160650253,-3757.6298694610596,1,1,0,-3757.6298694610596,-0.10549889921006969
0.3,2,runs\ppo\ppo_surrogate_constant_inflow_b0p30_s2_20260512_004053,-4071.208351060748,0.982504825728635,0.11404488481072458,21.416915893554688,13.996139417092007,-17032.83170723915,-10087.971160650253,-3757.6298694610596,1,1,0,-3757.6298694610596,-0.08345113608665872
0.3,3,runs\ppo\ppo_surrogate_constant_inflow_b0p30_s3_20260512_004414,-3943.7916984558105,0.9886017076671123,0.08755280348217834,21.599903106689453,9.11863386631012,-17032.83170723915,-10087.971160650253,-3757.6298694610596,1,1,0,-3757.6298694610596,-0.04954235394702442
0.3,4,runs\ppo\ppo_surrogate_constant_inflow_b0p30_s4_20260512_004735,-4256.249040961266,0.973223548879226,0.14329520324677633,21.09537124633789,21.421160896619163,-17032.83170723915,-10087.971160650253,-3757.6298694610596,1,1,0,-3757.6298694610596,-0.13269512666816244
1.0,0,runs\ppo\ppo_surrogate_constant_inflow_b1p00_s0_20260512_005057,-5972.073458433158,0.9739870640138785,0.14244932492728,21.12605857849121,20.810348788897198,-50912.83170723916,-27027.971160650257,-3757.6298694610596,1,1,0,-3757.6298694610596,-0.5893192426878664
1.0,1,runs\ppo\ppo_surrogate_constant_inflow_b1p00_s1_20260512_005417,-5693.241011540095,0.977236045897007,0.13638055978064909,21.231201171875,18.21116328239441,-50912.83170723916,-27027.971160650257,-3757.6298694610596,1,1,0,-3757.6298694610596,-0.5151149020317565
1.0,2,runs\ppo\ppo_surrogate_constant_inflow_b1p00_s2_20260512_005741,-17522.57692771157,0.7296888221676151,0.09919081501258614,19.810176849365234,216.2489422659079,-50912.83170723916,-27027.971160650257,-3757.6298694610596,1,1,0,-3757.6298694610596,-3.6631992869017607
1.0,3,runs\ppo\ppo_surrogate_constant_inflow_b1p00_s3_20260512_010105,-5810.491277774169,0.9758698513110479,0.13391079076619256,21.198835372924805,19.304118951161705,-50912.83170723916,-27027.971160650257,-3757.6298694610596,1,1,0,-3757.6298694610596,-0.5463181525666184
1.0,4,runs\ppo\ppo_surrogate_constant_inflow_b1p00_s4_20260512_010426,-8295.723676045722,0.9478953418632349,0.19174244026407022,20.703855514526367,41.68372650941213,-50912.83170723916,-27027.971160650257,-3757.6298694610596,1,1,0,-3757.6298694610596,-1.2077011212484163
3.0,0,runs\ppo\ppo_surrogate_constant_inflow_b3p00_s0_20260512_010745,-102510.9670195654,0.33815632251401745,0.06891163620073434,17.682886123657227,529.4749419887856,-147712.83170723915,-75427.97116065025,-3757.6298694610596,1,0,0,-3757.6298694610596,-26.280751585644623
3.0,1,runs\ppo\ppo_surrogate_constant_inflow_b3p00_s1_20260512_011108,-101407.85859826952,0.35363018242642286,0.0784125535913003,17.757606506347656,517.0958540588617,-147712.83170723915,-75427.97116065025,-3757.6298694610596,1,0,0,-3757.6298694610596,-25.987186636563013
3.0,2,runs\ppo\ppo_surrogate_constant_inflow_b3p00_s2_20260512_011426,-122777.60210253298,0.1715219331594805,0.019754281005646614,16.865110397338867,662.7824534724155,-147712.83170723915,-75427.97116065025,-3757.6298694610596,1,0,0,-3757.6298694610596,-31.674213897533882
3.0,3,runs\ppo\ppo_surrogate_constant_inflow_b3p00_s3_20260512_011751,-106150.66037856042,0.31565518338854115,0.06489451856773852,17.568252563476562,547.4758532891672,-147712.83170723915,-75427.97116065025,-3757.6298694610596,1,0,0,-3757.6298694610596,-27.249365708226378
3.0,4,runs\ppo\ppo_surrogate_constant_inflow_b3p00_s4_20260512_012113,-116485.49908220768,0.24403049087462325,0.06359938292613794,17.186742782592773,604.7756073003012,-147712.83170723915,-75427.97116065025,-3757.6298694610596,1,0,0,-3757.6298694610596,-29.999726723727232
