iter,m5c_surrogate,m6_sumo_20k,m6b_sumo_100k
1,-1740.0000,-1770.0000,-1770.0000
2,-1760.0000,-1790.0000,-1790.0000
3,-1740.0000,-1780.0000,-1780.0000
4,-1740.0000,-1800.0000,-1800.0000
5,-1770.0000,-1820.0000,-1820.0000
6,-1770.0000,-1830.0000,-1830.0000
7,-1790.0000,-1840.0000,-1840.0000
8,-1770.0000,-1830.0000,-1830.0000
9,-1760.0000,-1840.0000,-1840.0000
10,-1760.0000,-1850.0000,-1850.0000
11,-1770.0000,-1860.0000,-1860.0000
12,-1760.0000,-1850.0000,-1850.0000
13,-1740.0000,-1850.0000,-1850.0000
14,-1740.0000,-1850.0000,-1850.0000
15,-1740.0000,-1860.0000,-1860.0000
16,-1740.0000,-1870.0000,-1870.0000
17,-1740.0000,-1870.0000,-1870.0000
18,-1740.0000,-1870.0000,-1870.0000
19,-1740.0000,-1880.0000,-1880.0000
20,-1750.0000,-1890.0000,-1890.0000
21,-1750.0000,-1890.0000,-1890.0000
22,-1750.0000,-1900.0000,-1900.0000
23,-1760.0000,-1910.0000,-1910.0000
24,-1770.0000,-1920.0000,-1920.0000
25,-1770.0000,-1930.0000,-1930.0000
26,-1780.0000,-1940.0000,-1940.0000
27,-1780.0000,-1960.0000,-1960.0000
28,-1770.0000,-1960.0000,-1960.0000
29,-1780.0000,-1970.0000,-1970.0000
30,-1770.0000,-1980.0000,-1980.0000
31,-1780.0000,-2000.0000,-2000.0000
32,-1770.0000,-2010.0000,-2010.0000
33,-1770.0000,-2020.0000,-2020.0000
34,-1770.0000,-2020.0000,-2020.0000
35,-1770.0000,-2030.0000,-2030.0000
36,-1760.0000,-2030.0000,-2030.0000
37,-1760.0000,-2040.0000,-2040.0000
38,-1760.0000,-2050.0000,-2050.0000
39,-1750.0000,-2050.0000,-2050.0000
40,-1740.0000,-2050.0000,-2050.0000
41,-1720.0000,-2040.0000,-2040.0000
42,-1710.0000,-2040.0000,-2040.0000
43,-1700.0000,,-2030.0000
44,-1690.0000,,-2030.0000
45,-1680.0000,,-2020.0000
46,-1670.0000,,-2020.0000
47,-1670.0000,,-2030.0000
48,-1650.0000,,-2020.0000
49,-1640.0000,,-2020.0000
50,-1630.0000,,-2020.0000
51,-1610.0000,,-2010.0000
52,-1590.0000,,-2000.0000
53,-1590.0000,,-2000.0000
54,-1570.0000,,-2000.0000
55,-1570.0000,,-2010.0000
56,-1560.0000,,-2000.0000
57,-1540.0000,,-1990.0000
58,-1520.0000,,-1980.0000
59,-1510.0000,,-1970.0000
60,-1490.0000,,-1960.0000
61,-1470.0000,,-1950.0000
62,-1470.0000,,-1940.0000
63,-1460.0000,,-1940.0000
64,-1450.0000,,-1940.0000
65,-1440.0000,,-1930.0000
66,-1440.0000,,-1940.0000
67,-1420.0000,,-1940.0000
68,-1420.0000,,-1940.0000
69,-1400.0000,,-1940.0000
70,-1390.0000,,-1940.0000
71,-1380.0000,,-1930.0000
72,-1360.0000,,-1920.0000
73,-1340.0000,,-1900.0000
74,-1320.0000,,-1880.0000
75,-1310.0000,,-1850.0000
76,-1300.0000,,-1840.0000
77,-1300.0000,,-1830.0000
78,-1290.0000,,-1820.0000
79,-1280.0000,,-1800.0000
80,-1260.0000,,-1790.0000
81,-1250.0000,,-1780.0000
82,-1260.0000,,-1790.0000
83,-1260.0000,,-1800.0000
84,-1270.0000,,-1810.0000
85,-1270.0000,,-1810.0000
86,-1280.0000,,-1810.0000
87,-1280.0000,,-1810.0000
88,-1280.0000,,-1810.0000
89,-1290.0000,,-1810.0000
90,-1290.0000,,-1810.0000
91,-1290.0000,,-1800.0000
92,-1300.0000,,-1800.0000
93,-1300.0000,,-1790.0000
94,-1310.0000,,-1780.0000
95,-1300.0000,,-1780.0000
96,-1310.0000,,-1770.0000
97,-1310.0000,,-1760.0000
98,-1320.0000,,-1770.0000
99,-1330.0000,,-1770.0000
100,-1330.0000,,-1800.0000
101,-1350.0000,,-1810.0000
102,-1350.0000,,-1820.0000
103,-1370.0000,,-1840.0000
104,-1390.0000,,-1850.0000
105,-1400.0000,,-1860.0000
106,-1410.0000,,-1860.0000
107,-1400.0000,,-1850.0000
108,-1400.0000,,-1840.0000
109,-1390.0000,,-1820.0000
110,-1390.0000,,-1810.0000
111,-1400.0000,,-1810.0000
112,-1400.0000,,-1800.0000
113,-1420.0000,,-1810.0000
114,-1410.0000,,-1800.0000
115,-1410.0000,,-1800.0000
116,-1420.0000,,-1810.0000
117,-1420.0000,,-1810.0000
118,-1420.0000,,-1810.0000
119,-1420.0000,,-1820.0000
120,-1430.0000,,-1830.0000
121,-1420.0000,,-1830.0000
122,-1430.0000,,-1840.0000
123,-1440.0000,,-1850.0000
124,-1440.0000,,-1850.0000
125,-1440.0000,,-1850.0000
126,-1440.0000,,-1850.0000
127,-1440.0000,,-1850.0000
128,-1430.0000,,-1850.0000
129,-1420.0000,,-1840.0000
130,-1410.0000,,-1840.0000
131,-1400.0000,,-1840.0000
132,-1400.0000,,-1850.0000
133,-1400.0000,,-1860.0000
134,-1410.0000,,-1880.0000
135,-1410.0000,,-1900.0000
136,-1410.0000,,-1920.0000
137,-1400.0000,,-1930.0000
138,-1390.0000,,-1930.0000
139,-1400.0000,,-1950.0000
140,-1400.0000,,-1980.0000
141,-1400.0000,,-1990.0000
142,-1410.0000,,-2020.0000
143,-1420.0000,,-2040.0000
144,-1420.0000,,-2050.0000
145,-1420.0000,,-2060.0000
146,-1420.0000,,-2090.0000
147,-1420.0000,,-2100.0000
148,-1420.0000,,-2100.0000
149,-1420.0000,,-2120.0000
150,-1430.0000,,-2140.0000
151,-1440.0000,,-2160.0000
152,-1450.0000,,-2180.0000
153,-1450.0000,,-2200.0000
154,-1460.0000,,-2220.0000
155,-1470.0000,,-2230.0000
156,-1480.0000,,-2250.0000
157,-1480.0000,,-2250.0000
158,-1490.0000,,-2260.0000
159,-1500.0000,,-2270.0000
160,-1510.0000,,-2280.0000
161,-1520.0000,,-2290.0000
162,-1530.0000,,-2300.0000
163,-1540.0000,,-2320.0000
164,-1560.0000,,-2330.0000
165,-1570.0000,,-2340.0000
166,-1590.0000,,-2350.0000
167,-1600.0000,,-2350.0000
168,-1600.0000,,-2350.0000
169,-1620.0000,,-2360.0000
170,-1630.0000,,-2370.0000
171,-1640.0000,,-2370.0000
172,-1640.0000,,-2380.0000
173,-1640.0000,,-2380.0000
174,-1650.0000,,-2380.0000
175,-1650.0000,,-2380.0000
176,-1650.0000,,-2380.0000
177,-1650.0000,,-2370.0000
178,-1650.0000,,-2360.0000
179,-1660.0000,,-2360.0000
